# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
solving  out.dbpedia-location   48
solving  out.dbpedia-location   44
solving  out.dbpedia-location   0
solving  out.dbpedia-location   18
solving  out.dbpedia-location   57
solving  out.dbpedia-location   38
solving  out.dbpedia-location   34
solving  out.dbpedia-location   39
solving  out.dbpedia-location   51
solving  out.dbpedia-location   41
solving  out.dbpedia-location   28
solving  out.dbpedia-location   40
solving  out.dbpedia-location   47
solving  out.dbpedia-location   50
solving  out.dbpedia-location   12
solving  out.dbpedia-location   3
solving  out.dbpedia-location   60
solving  out.dbpedia-location   22
solving  out.dbpedia-location   27
solving  out.dbpedia-location   45
solving  out.dbpedia-location   15
solving  out.dbpedia-location   62
solving  out.dbpedia-location   13
solving  out.dbpedia-location   61
solving  out.dbpedia-location   30
solving  out.dbpedia-location   63
solving  out.dbpedia-location   42
solving  out.dbpedia-location   56
solving  out.dbpedia-location   6
solving  out.dbpedia-location   19
solving  out.dbpedia-location   5
solving  out.dbpedia-location   7
solving  out.dbpedia-location   31
solving  out.dbpedia-location   33
solving  out.dbpedia-location   24
solving  out.dbpedia-location   1
solving  out.dbpedia-location   29
solving  out.dbpedia-location   26
solving  out.dbpedia-location   23
solving  out.dbpedia-location   52
solving  out.dbpedia-location   53
solving  out.dbpedia-location   54
solving  out.dbpedia-location   59
solving  out.dbpedia-location   9
solving  out.dbpedia-location   20
solving  out.dbpedia-location   2
solving  out.dbpedia-location   43
solving  out.dbpedia-location   14
solving  out.dbpedia-location   8
solving  out.dbpedia-location   4
solving  out.dbpedia-location   25
solving  out.dbpedia-location   11
solving  out.dbpedia-location   10
solving  out.dbpedia-location   36
solving  out.dbpedia-location   55
solving  out.dbpedia-location   37
solving  out.dbpedia-location   32
path: ../data/
dataset: out.dbpedia-location-swap.txt
solving  out.dbpedia-location-swap.txt   1
solving  out.dbpedia-location-swap.txt   0
path: ../data/
dataset: out.dbpedia-location-swap.txt
solving  out.dbpedia-location-swap.txt   1
solving  out.dbpedia-location-swap.txt   2
solving  out.dbpedia-location-swap.txt   3
solving  out.dbpedia-location-swap.txt   0
path: ../data/
dataset: out.dbpedia-location-swap.txt
solving  out.dbpedia-location-swap.txt   1
solving  out.dbpedia-location-swap.txt   7
solving  out.dbpedia-location-swap.txt   2
solving  out.dbpedia-location-swap.txt   5
solving  out.dbpedia-location-swap.txt   6
solving  out.dbpedia-location-swap.txt   4
solving  out.dbpedia-location-swap.txt   3
solving  out.dbpedia-location-swap.txt   0
path: ../data/
dataset: out.dbpedia-location-swap.txt
solving  out.dbpedia-location-swap.txt   15
solving  out.dbpedia-location-swap.txt   1
solving  out.dbpedia-location-swap.txt   9
solving  out.dbpedia-location-swap.txt   7
solving  out.dbpedia-location-swap.txt   14
solving  out.dbpedia-location-swap.txt   2
solving  out.dbpedia-location-swap.txt   5
solving  out.dbpedia-location-swap.txt   6
solving  out.dbpedia-location-swap.txt   10
solving  out.dbpedia-location-swap.txt   13
solving  out.dbpedia-location-swap.txt   4
solving  out.dbpedia-location-swap.txt   11
solving  out.dbpedia-location-swap.txt   8
solving  out.dbpedia-location-swap.txt   3
solving  out.dbpedia-location-swap.txt   0
solving  out.dbpedia-location-swap.txt   12
path: ../data/
dataset: out.dbpedia-location-swap.txt
solving  out.dbpedia-location-swap.txt   15
solving  out.dbpedia-location-swap.txt   1
solving  out.dbpedia-location-swap.txt   20
solving  out.dbpedia-location-swap.txt   16
solving  out.dbpedia-location-swap.txt   23
solving  out.dbpedia-location-swap.txt   9
solving  out.dbpedia-location-swap.txt   30
solving  out.dbpedia-location-swap.txt   7
solving  out.dbpedia-location-swap.txt   14
solving  out.dbpedia-location-swap.txt   28
solving  out.dbpedia-location-swap.txt   22
solving  out.dbpedia-location-swap.txt   27
solving  out.dbpedia-location-swap.txt   2
solving  out.dbpedia-location-swap.txt   5
solving  out.dbpedia-location-swap.txt   6
solving  out.dbpedia-location-swap.txt   10
solving  out.dbpedia-location-swap.txt   29
solving  out.dbpedia-location-swap.txt   31
solving  out.dbpedia-location-swap.txt   13
solving  out.dbpedia-location-swap.txt   24
solving  out.dbpedia-location-swap.txt   17
solving  out.dbpedia-location-swap.txt   4
solving  out.dbpedia-location-swap.txt   11
solving  out.dbpedia-location-swap.txt   21
solving  out.dbpedia-location-swap.txt   8
solving  out.dbpedia-location-swap.txt   3
solving  out.dbpedia-location-swap.txt   0
solving  out.dbpedia-location-swap.txt   18
solving  out.dbpedia-location-swap.txt   25
solving  out.dbpedia-location-swap.txt   19
solving  out.dbpedia-location-swap.txt   12
solving  out.dbpedia-location-swap.txt   26
path: ../data/
dataset: out.dbpedia-location-swap.txt
solving  out.dbpedia-location-swap.txt   59
solving  out.dbpedia-location-swap.txt   15
solving  out.dbpedia-location-swap.txt   1
solving  out.dbpedia-location-swap.txt   20
solving  out.dbpedia-location-swap.txt   16
solving  out.dbpedia-location-swap.txt  91474
34081
sum:125555
max partition:28260
min partition:28259
71645
32252
14076
20072
sum:138045
max partition:14130
min partition:14129
50177
35787
22174
12713
7298
7096
10462
9599
sum:155306
max partition:7065
min partition:7064
32651
27863
23614
18188
14426
10968
8210
5772
4059
3143
3331
3820
4305
6233
5154
4469
sum:176206
max partition:3533
min partition:3532
19934
17243
19341
15548
14411
13407
11198
10593
8992
7399
6837
5869
4835
4169
3024
2673
2357
1904
1565
1586
1623
1732
1863
1983
2034
2289
2994
3275
2646
2454
2327
2146
sum:200251
max partition:1767
min partition:1766
11467
12780
10765
11545
9726
9225
10632
9752
8489
8417
7772
6999
6469
6511
6109
5843
5276
5239
5044
4400
3981
3365
3422
3046
2711
2709
2417
2138
1950
1672
1506
1441
1294
1082
972
909
807
829
806
794
829
839
866
857
912
920
964
988
1017
1046
1024
1218
1496
1529
1624
1609
1352
1324
1229
1206
1168
1153
1071
1078
sum:227630
max partition:884
min partition:883
36927
30519
sum:67446
max partition:60434
min partition:60433
33834
12270
9938
21359
sum:77401
max partition:30217
min partition:30216
30304
14299
9241
6454
4509
5846
8294
13209
sum:92156
max partition:15109
min partition:15108
26821
13803
10814
8504
6738
5688
4213
3611
2578
2235
2705
3281
3726
4556
6075
7109
sum:112457
max partition:7555
min partition:7554
22732
14004
10625
8110
7386
7153
6248
5132
4910
3897
3807
3164
3027
2243
2125
1867
1575
1293
1091
1288
1277
1535
1608
1613
1741
1997
2223
2435
2864
3222
3391
3704
sum:139287
max partition:3778
min partition:3777
# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,3066,205,205
4,7759,304,304
8,14055,465,465
16,20969,680,680
32,28260,1118,1118
64,36862,1775,1775

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3259,207,207
4,8029,262,262
8,14319,317,317
16,22134,438,438
32,30555,669,669
64,39481,933,933

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,3540,1174,1174
4,5501,1355,1355
8,5975,1466,1466
16,5951,1489,1489
32,6269,1722,1722
64,6771,1969,1969

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,8864,677,677
4,19576,661,661
8,27360,695,695
16,33058,812,812
32,38676,760,760
64,42096,636,636

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,4164,1068,1068
4,12920,999,999
8,25694,1268,1268
16,41045,1393,1393
32,57677,1857,1857
64,74551,2546,2546

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11665,1487,1487
4,20394,1315,1315
8,25576,1415,1415
16,34512,1518,1518
32,45419,1750,1750
64,58360,2270,2270

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,59289,4292,4292
4,121827,4960,4960
8,162914,5621,5621
16,211708,6177,6178
32,248688,7441,7441
64,296336,8120,8120

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,43557,4917,4917
4,68579,5369,5369
8,119934,5765,5765
16,179600,6653,6653
32,235263,8158,8158
64,278243,9025,9025

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,16129,7041,7041
4,16847,7182,7182
8,19317,7444,7444
16,28122,8841,8841
32,40237,12656,12656
64,52182,16791,16791

# dataset:../data/out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,8044,2863,2863
4,21705,2886,2886
8,49051,2876,2876
16,80891,2834,2834
32,108790,3018,3018
64,120109,2980,2980

# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2453,317,317
4,7194,366,366
8,13808,487,487
16,20825,813,813
32,28445,1165,1165
64,36673,1768,1768

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,2905,278,278
4,7914,272,272
8,14485,333,333
16,21964,454,454
32,30564,621,621
64,39438,850,850

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,1228,1339,1339
4,4037,1442,1442
8,5607,1474,1474
16,5763,1654,1654
32,6232,1835,1835
64,6584,2029,2029

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,15091,750,750
4,20296,771,771
8,28096,729,729
16,33643,771,771
32,39246,759,759
64,41968,756,756

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,6569,1300,1300
4,13242,1333,1333
8,25698,1316,1316
16,40956,1441,1441
32,57491,1965,1965
64,74516,2497,2497

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,9871,1665,1665
4,19772,1639,1639
8,25319,1637,1637
16,34390,1817,1817
32,45331,2067,2067
64,58280,2520,2520

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,42474,4220,4220
4,113496,4578,4578
8,159183,5294,5294
16,208273,5950,5950
32,246255,6543,6543
64,294115,7354,7354

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,25716,5419,5419
4,67842,5506,5506
8,119015,6115,6115
16,180480,6855,6855
32,231801,8019,8019
64,280842,9146,9146

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,2833,8177,8177
4,11465,10045,10045
8,19298,10804,10804
16,28135,13367,13367
32,39819,17171,17171
64,51325,17908,17908

# dataset:../data/out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,10432,2563,2563
4,22847,2573,2573
8,49557,2432,2432
16,81134,2608,2608
32,107797,2862,2862
64,121190,2785,2785

# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2988,280,280
4,7522,294,294
8,13223,445,445
16,19725,690,690
32,27261,1067,1067
64,35105,1631,1631

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3216,211,211
4,7882,219,219
8,14036,292,292
16,21637,423,423
32,29947,585,585
64,39025,825,825

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,338,1024,1024
4,995,1108,1108
8,1955,1227,1227
16,2188,1584,1584
32,2265,1639,1639
64,2556,2148,2148

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,7837,620,620
4,19478,645,645
8,26426,623,623
16,32763,587,587
32,36805,656,656
64,40170,652,652

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,2417,905,905
4,11473,969,969
8,23229,1065,1065
16,37540,1264,1264
32,53104,1637,1637
64,68886,2244,2244

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,5998,1091,1091
4,17318,1178,1178
8,23684,1265,1265
16,31461,1468,1468
32,41558,1610,1610
64,54208,2093,2093

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,52008,3521,3521
4,104483,4179,4179
8,148701,4904,4904
16,191760,5487,5487
32,223492,6047,6047
64,266455,7004,7004

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,30945,5003,5003
4,64493,5086,5086
8,110524,5325,5325
16,165353,5735,5735
32,222027,6851,6851
64,261215,7793,7793

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,1969,6327,6327
4,5618,6827,6827
8,10460,8435,8435
16,23633,10000,10000
32,32359,12985,12985
64,44354,19949,19949

# dataset:../data/out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,7864,2755,2755
4,22626,2634,2634
8,48969,2715,2715
16,79201,2852,2852
32,105794,2866,2866
64,119482,2904,2905

begin solve ../data/wiki_new.txt
load data ok!
runtime:154
par:0 size:2260 edge:3637
par:1 size:2306 edge:3345
------------
begin solve ../data/wiki_new.txt
load data ok!
runtime:211
par:0 size:1108 edge:3111
par:1 size:1153 edge:2882
par:2 size:1153 edge:2787
par:3 size:1152 edge:2462
------------
begin solve ../data/wiki_new.txt
load data ok!
runtime:321
par:0 size:535 edge:2371
par:1 size:576 edge:2274
par:2 size:576 edge:2252
par:3 size:575 edge:2212
par:4 size:579 edge:2236
par:5 size:580 edge:2151
par:6 size:572 edge:1886
par:7 size:573 edge:1773
------------
begin solve ../data/wiki_new.txt
load data ok!
runtime:468
par:0 size:246 edge:1789
par:1 size:285 edge:1695
par:2 size:291 edge:1703
par:3 size:278 edge:1622
par:4 size:291 edge:1883
par:5 size:284 edge:1630
par:6 size:291 edge:1860
par:7 size:288 edge:1643
par:8 size:291 edge:1705
par:9 size:292 edge:1705
par:10 size:291 edge:1576
par:11 size:279 edge:1401
par:12 size:291 edge:1799
par:13 size:292 edge:1577
par:14 size:289 edge:1469
par:15 size:287 edge:1251
------------
begin solve ../data/wiki_new.txt
load data ok!
runtime:675
par:0 size:100 edge:1158
par:1 size:142 edge:1231
par:2 size:139 edge:1165
par:3 size:145 edge:1380
par:4 size:146 edge:1326
par:5 size:146 edge:1410
par:6 size:140 edge:1217
par:7 size:146 edge:1476
par:8 size:146 edge:1261
par:9 size:145 edge:1367
par:10 size:146 edge:1340
par:11 size:146 edge:1338
par:12 size:144 edge:1275
par:13 size:146 edge:1485
par:14 size:145 edge:1132
par:15 size:145 edge:1358
par:16 size:141 edge:1133
par:17 size:146 edge:1303
par:18 size:136 edge:1108
par:19 size:145 edge:1139
par:20 size:145 edge:1230
par:21 size:145 edge:1203
par:22 size:146 edge:1190
par:23 size:145 edge:1192
par:24 size:145 edge:1241
par:25 size:145 edge:1138
par:26 size:145 edge:1053
par:27 size:146 edge:1327
par:28 size:141 edge:1080
par:29 size:145 edge:980
par:30 size:138 edge:915
par:31 size:145 edge:1090
------------
begin solve ../data/wiki_new.txt
load data ok!
runtime:769
par:0 size:27 edge:517
par:1 size:72 edge:861
par:2 size:72 edge:1003
par:3 size:72 edge:1028
par:4 size:72 edge:871
par:5 size:72 edge:1048
par:6 size:72 edge:1176
par:7 size:72 edge:938
par:8 size:72 edge:820
par:9 size:72 edge:773
par:10 size:72 edge:905
par:11 size:72 edge:843
par:12 size:72 edge:1105
par:13 size:72 edge:897
par:14 size:72 edge:1033
par:15 size:72 edge:985
par:16 size:72 edge:1034
par:17 size:72 edge:995
par:18 size:72 edge:885
par:19 size:72 edge:1035
par:20 size:72 edge:860
par:21 size:72 edge:831
par:22 size:72 edge:883
par:23 size:72 edge:990
par:24 size:72 edge:907
par:25 size:72 edge:979
par:26 size:72 edge:969
par:27 size:72 edge:818
par:28 size:72 edge:884
par:29 size:72 edge:907
par:30 size:72 edge:949
par:31 size:72 edge:771
par:32 size:72 edge:836
par:33 size:72 edge:781
par:34 size:72 edge:876
par:35 size:72 edge:888
par:36 size:72 edge:1033
par:37 size:72 edge:752
par:38 size:72 edge:975
par:39 size:72 edge:1004
par:40 size:72 edge:917
par:41 size:72 edge:948
par:42 size:72 edge:901
par:43 size:72 edge:945
par:44 size:72 edge:885
par:45 size:72 edge:798
par:46 size:72 edge:946
par:47 size:73 edge:849
par:48 size:72 edge:890
par:49 size:72 edge:1008
par:50 size:72 edge:878
par:51 size:72 edge:823
par:52 size:72 edge:886
par:53 size:72 edge:1032
par:54 size:72 edge:1081
par:55 size:72 edge:779
par:56 size:72 edge:921
par:57 size:72 edge:733
par:58 size:72 edge:1031
par:59 size:72 edge:818
par:60 size:72 edge:933
par:61 size:72 edge:827
par:62 size:73 edge:865
par:63 size:73 edge:931
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:165
par:0 size:2075 edge:4536
par:1 size:2056 edge:3867
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:233
par:0 size:1030 edge:4260
par:1 size:1048 edge:4434
par:2 size:1046 edge:3792
par:3 size:1007 edge:2821
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:282
par:0 size:519 edge:3618
par:1 size:521 edge:3599
par:2 size:523 edge:3622
par:3 size:516 edge:3077
par:4 size:523 edge:3635
par:5 size:523 edge:3531
par:6 size:523 edge:3038
par:7 size:483 edge:1548
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:483
par:0 size:238 edge:3190
par:1 size:273 edge:3082
par:2 size:232 edge:2260
par:3 size:241 edge:2328
par:4 size:249 edge:2380
par:5 size:273 edge:3749
par:6 size:273 edge:3260
par:7 size:273 edge:3172
par:8 size:252 edge:2171
par:9 size:273 edge:2236
par:10 size:260 edge:2482
par:11 size:273 edge:2934
par:12 size:241 edge:1435
par:13 size:253 edge:1466
par:14 size:253 edge:1125
par:15 size:274 edge:1768
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:592
par:0 size:89 edge:862
par:1 size:130 edge:2039
par:2 size:130 edge:1593
par:3 size:131 edge:2600
par:4 size:131 edge:2820
par:5 size:131 edge:3057
par:6 size:130 edge:1918
par:7 size:130 edge:2012
par:8 size:131 edge:2266
par:9 size:130 edge:2014
par:10 size:131 edge:2379
par:11 size:130 edge:1317
par:12 size:131 edge:1746
par:13 size:131 edge:2409
par:14 size:131 edge:3066
par:15 size:130 edge:1553
par:16 size:131 edge:2100
par:17 size:130 edge:1928
par:18 size:130 edge:1439
par:19 size:130 edge:1782
par:20 size:130 edge:1137
par:21 size:129 edge:1307
par:22 size:130 edge:1357
par:23 size:130 edge:1827
par:24 size:130 edge:1373
par:25 size:130 edge:1420
par:26 size:131 edge:1632
par:27 size:131 edge:963
par:28 size:131 edge:1689
par:29 size:130 edge:948
par:30 size:130 edge:985
par:31 size:131 edge:1215
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:942
par:0 size:29 edge:615
par:1 size:70 edge:1582
par:2 size:69 edge:1388
par:3 size:46 edge:648
par:4 size:47 edge:683
par:5 size:71 edge:1622
par:6 size:71 edge:1394
par:7 size:71 edge:2571
par:8 size:53 edge:880
par:9 size:63 edge:1134
par:10 size:61 edge:816
par:11 size:70 edge:1334
par:12 size:70 edge:1748
par:13 size:71 edge:2070
par:14 size:65 edge:1236
par:15 size:59 edge:1028
par:16 size:60 edge:824
par:17 size:51 edge:743
par:18 size:47 edge:558
par:19 size:71 edge:1436
par:20 size:70 edge:1662
par:21 size:71 edge:1852
par:22 size:49 edge:715
par:23 size:71 edge:1888
par:24 size:71 edge:1435
par:25 size:50 edge:538
par:26 size:70 edge:1610
par:27 size:53 edge:898
par:28 size:66 edge:1094
par:29 size:71 edge:1476
par:30 size:67 edge:1083
par:31 size:67 edge:1012
par:32 size:51 edge:530
par:33 size:55 edge:793
par:34 size:53 edge:731
par:35 size:71 edge:2275
par:36 size:70 edge:1066
par:37 size:66 edge:935
par:38 size:61 edge:1041
par:39 size:71 edge:1814
par:40 size:71 edge:1815
par:41 size:60 edge:1036
par:42 size:63 edge:773
par:43 size:66 edge:831
par:44 size:61 edge:738
par:45 size:67 edge:843
par:46 size:70 edge:875
par:47 size:70 edge:1510
par:48 size:70 edge:1701
par:49 size:65 edge:823
par:50 size:69 edge:927
par:51 size:71 edge:1643
par:52 size:71 edge:895
par:53 size:66 edge:795
par:54 size:70 edge:1402
par:55 size:66 edge:730
par:56 size:71 edge:983
par:57 size:71 edge:1265
par:58 size:71 edge:1534
par:59 size:69 edge:569
par:60 size:71 edge:1435
par:61 size:71 edge:862
par:62 size:71 edge:1177
par:63 size:71 edge:1529
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:783
par:0 size:85185 edge:30959
par:1 size:86906 edge:30872
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:1009
par:0 size:41733 edge:17455
par:1 size:43452 edge:17296
par:2 size:43453 edge:17367
par:3 size:43453 edge:17584
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:1325
par:0 size:20006 edge:9718
par:1 size:21726 edge:9789
par:2 size:21725 edge:9921
par:3 size:21727 edge:9403
par:4 size:21726 edge:9740
par:5 size:21727 edge:9618
par:6 size:21727 edge:9203
par:7 size:21727 edge:9902
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:1731
par:0 size:9143 edge:5316
par:1 size:10860 edge:5916
par:2 size:10863 edge:5879
par:3 size:10863 edge:5606
par:4 size:10864 edge:5715
par:5 size:10863 edge:5270
par:6 size:10863 edge:5443
par:7 size:10863 edge:5353
par:8 size:10863 edge:5280
par:9 size:10863 edge:5078
par:10 size:10863 edge:5224
par:11 size:10864 edge:5216
par:12 size:10864 edge:5194
par:13 size:10864 edge:5333
par:14 size:10864 edge:5229
par:15 size:10864 edge:5279
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:2234
par:0 size:3711 edge:2796
par:1 size:5431 edge:3598
par:2 size:5429 edge:3532
par:3 size:5430 edge:3477
par:4 size:5432 edge:3524
par:5 size:5431 edge:3521
par:6 size:5431 edge:3475
par:7 size:5431 edge:3306
par:8 size:5432 edge:3298
par:9 size:5431 edge:3330
par:10 size:5430 edge:3265
par:11 size:5432 edge:3316
par:12 size:5432 edge:3227
par:13 size:5432 edge:3196
par:14 size:5432 edge:3187
par:15 size:5432 edge:3135
par:16 size:5432 edge:3132
par:17 size:5432 edge:3129
par:18 size:5432 edge:3104
par:19 size:5432 edge:3193
par:20 size:5432 edge:3192
par:21 size:5432 edge:3091
par:22 size:5432 edge:3063
par:23 size:5432 edge:3161
par:24 size:5432 edge:2926
par:25 size:5432 edge:3053
par:26 size:5432 edge:3053
par:27 size:5432 edge:3077
par:28 size:5432 edge:3134
par:29 size:5432 edge:3030
par:30 size:5432 edge:2971
par:31 size:5432 edge:3215
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:2754
par:0 size:996 edge:1063
par:1 size:2715 edge:2320
par:2 size:2714 edge:2275
par:3 size:2715 edge:2257
par:4 size:2713 edge:2320
par:5 size:2714 edge:2265
par:6 size:2714 edge:2289
par:7 size:2716 edge:2240
par:8 size:2715 edge:2303
par:9 size:2715 edge:2192
par:10 size:2715 edge:2252
par:11 size:2715 edge:2229
par:12 size:2715 edge:2285
par:13 size:2715 edge:2221
par:14 size:2715 edge:2257
par:15 size:2715 edge:2233
par:16 size:2715 edge:2218
par:17 size:2715 edge:2157
par:18 size:2716 edge:2211
par:19 size:2715 edge:2191
par:20 size:2715 edge:2126
par:21 size:2715 edge:2224
par:22 size:2715 edge:2151
par:23 size:2716 edge:2206
par:24 size:2715 edge:2185
par:25 size:2715 edge:2105
par:26 size:2716 edge:2135
par:27 size:2715 edge:2137
par:28 size:2716 edge:2168
par:29 size:2715 edge:2107
par:30 size:2715 edge:2142
par:31 size:2716 edge:2079
par:32 size:2716 edge:2149
par:33 size:2716 edge:2079
par:34 size:2716 edge:2154
par:35 size:2716 edge:2147
par:36 size:2717 edge:2133
par:37 size:2716 edge:2077
par:38 size:2716 edge:2153
par:39 size:2716 edge:2161
par:40 size:2716 edge:2102
par:41 size:2716 edge:2117
par:42 size:2717 edge:2063
par:43 size:2717 edge:2133
par:44 size:2717 edge:2120
par:45 size:2716 edge:2147
par:46 size:2716 edge:2122
par:47 size:2716 edge:2114
par:48 size:2717 edge:2085
par:49 size:2716 edge:2080
par:50 size:2716 edge:2099
par:51 size:2717 edge:2100
par:52 size:2717 edge:2047
par:53 size:2717 edge:2127
par:54 size:2717 edge:2063
par:55 size:2717 edge:2143
par:56 size:2716 edge:2108
par:57 size:2717 edge:2115
par:58 size:2717 edge:2053
par:59 size:2717 edge:2131
par:60 size:2717 edge:2115
par:61 size:2717 edge:2118
par:62 size:2717 edge:2066
par:63 size:2717 edge:2137
------------
begin solve ../data/out.dbpedia-location-swap.txt
load data ok!
runtime:588
par:0 size:26436 edge:117878
par:1 size:26971 edge:78360
------------
begin solve ../data/out.dbpedia-location-swap.txt
load data ok!
runtime:799
par:0 size:12953 edge:63288
par:1 size:13482 edge:69081
par:2 size:13485 edge:47272
par:3 size:13487 edge:30606
------------
begin solve ../data/out.dbpedia-location-swap.txt
load data ok!
runtime:998
par:0 size:6211 edge:33575
par:1 size:6746 edge:58476
par:2 size:6720 edge:25625
par:3 size:6746 edge:27307
par:4 size:6746 edge:21692
par:5 size:6746 edge:22633
par:6 size:6746 edge:26152
par:7 size:6746 edge:16583
------------
begin solve ../data/out.dbpedia-location-swap.txt
load data ok!
runtime:1494
par:0 size:2837 edge:14783
par:1 size:3371 edge:17401
par:2 size:3372 edge:23292
par:3 size:3371 edge:14514
par:4 size:3370 edge:20635
par:5 size:3371 edge:30298
par:6 size:3371 edge:13035
par:7 size:3371 edge:11570
par:8 size:3372 edge:15583
par:9 size:3372 edge:10935
par:10 size:3370 edge:11547
par:11 size:3371 edge:13563
par:12 size:3372 edge:11926
par:13 size:3372 edge:8567
par:14 size:3372 edge:8240
par:15 size:3372 edge:8779
------------
begin solve ../data/out.dbpedia-location-swap.txt
load data ok!
runtime:1914
par:0 size:1154 edge:8550
par:1 size:1689 edge:13059
par:2 size:1659 edge:6544
par:3 size:1672 edge:6602
par:4 size:1689 edge:11616
par:5 size:1679 edge:6562
par:6 size:1683 edge:8527
par:7 size:1681 edge:6704
par:8 size:1682 edge:8544
par:9 size:1689 edge:23258
par:10 size:1687 edge:8783
par:11 size:1689 edge:8371
par:12 size:1687 edge:9025
par:13 size:1683 edge:5904
par:14 size:1678 edge:7621
par:15 size:1682 edge:7168
par:16 size:1689 edge:6284
par:17 size:1689 edge:5540
par:18 size:1689 edge:6592
par:19 size:1689 edge:6976
par:20 size:1689 edge:14775
par:21 size:1689 edge:9632
par:22 size:1689 edge:6953
par:23 size:1689 edge:4298
par:24 size:1689 edge:4359
par:25 size:1689 edge:6499
par:26 size:1689 edge:7860
par:27 size:1689 edge:5152
par:28 size:1689 edge:3832
par:29 size:1689 edge:4247
par:30 size:1689 edge:3401
par:31 size:1689 edge:5427
------------
begin solve ../data/out.dbpedia-location-swap.txt
load data ok!
runtime:2188
par:0 size:309 edge:2175
par:1 size:842 edge:3878
par:2 size:843 edge:4605
par:3 size:841 edge:3482
par:4 size:844 edge:2978
par:5 size:844 edge:7527
par:6 size:844 edge:9517
par:7 size:843 edge:3386
par:8 size:842 edge:3648
par:9 size:843 edge:4502
par:10 size:842 edge:2976
par:11 size:841 edge:4668
par:12 size:841 edge:6579
par:13 size:842 edge:4028
par:14 size:842 edge:6164
par:15 size:844 edge:17751
par:16 size:841 edge:4170
par:17 size:843 edge:3193
par:18 size:844 edge:4160
par:19 size:842 edge:4034
par:20 size:843 edge:4139
par:21 size:841 edge:4379
par:22 size:844 edge:5532
par:23 size:843 edge:2842
par:24 size:844 edge:5287
par:25 size:841 edge:3150
par:26 size:843 edge:3698
