# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
par:9 size:72 edge:773
par:10 size:72 edge:905
par:11 size:72 edge:843
par:12 size:72 edge:1105
par:13 size:72 edge:897
par:14 size:72 edge:1033
par:15 size:72 edge:985
par:16 size:72 edge:1034
par:17 size:72 edge:995
par:18 size:72 edge:885
par:19 size:72 edge:1035
par:20 size:72 edge:860
par:21 size:72 edge:831
par:22 size:72 edge:883
par:23 size:72 edge:990
par:24 size:72 edge:907
par:25 size:72 edge:979
par:26 size:72 edge:969
par:27 size:72 edge:818
par:28 size:72 edge:884
par:29 size:72 edge:907
par:30 size:72 edge:949
par:31 size:72 edge:771
par:32 size:72 edge:836
par:33 size:72 edge:781
par:34 size:72 edge:876
par:35 size:72 edge:888
par:36 size:72 edge:1033
par:37 size:72 edge:752
par:38 size:72 edge:975
par:39 size:72 edge:1004
par:40 size:72 edge:917
par:41 size:72 edge:948
par:42 size:72 edge:901
par:43 size:72 edge:945
par:44 size:72 edge:885
par:45 size:72 edge:798
par:46 size:72 edge:946
par:47 size:73 edge:849
par:48 size:72 edge:890
par:49 size:72 edge:1008
par:50 size:72 edge:878
par:51 size:72 edge:823
par:52 size:72 edge:886
par:53 size:72 edge:1032
par:54 size:72 edge:1081
par:55 size:72 edge:779
par:56 size:72 edge:921
par:57 size:72 edge:733
par:58 size:72 edge:1031
par:59 size:72 edge:818
par:60 size:72 edge:933
par:61 size:72 edge:827
par:62 size:73 edge:865
par:63 size:73 edge:931
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:173
par:0 size:2075 edge:4536
par:1 size:2056 edge:3867
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:238
par:0 size:1030 edge:4260
par:1 size:1048 edge:4434
par:2 size:1046 edge:3792
par:3 size:1007 edge:2821
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:356
par:0 size:519 edge:3618
par:1 size:521 edge:3599
par:2 size:523 edge:3622
par:3 size:516 edge:3077
par:4 size:523 edge:3635
par:5 size:523 edge:3531
par:6 size:523 edge:3038
par:7 size:483 edge:1548
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:530
par:0 size:238 edge:3190
par:1 size:273 edge:3082
par:2 size:232 edge:2260
par:3 size:241 edge:2328
par:4 size:249 edge:2380
par:5 size:273 edge:3749
par:6 size:273 edge:3260
par:7 size:273 edge:3172
par:8 size:252 edge:2171
par:9 size:273 edge:2236
par:10 size:260 edge:2482
par:11 size:273 edge:2934
par:12 size:241 edge:1435
par:13 size:253 edge:1466
par:14 size:253 edge:1125
par:15 size:274 edge:1768
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:676
par:0 size:89 edge:862
par:1 size:130 edge:2039
par:2 size:130 edge:1593
par:3 size:131 edge:2600
par:4 size:131 edge:2820
par:5 size:131 edge:3057
par:6 size:130 edge:1918
par:7 size:130 edge:2012
par:8 size:131 edge:2266
par:9 size:130 edge:2014
par:10 size:131 edge:2379
par:11 size:130 edge:1317
par:12 size:131 edge:1746
par:13 size:131 edge:2409
par:14 size:131 edge:3066
par:15 size:130 edge:1553
par:16 size:131 edge:2100
par:17 size:130 edge:1928
par:18 size:130 edge:1439
par:19 size:130 edge:1782
par:20 size:130 edge:1137
par:21 size:129 edge:1307
par:22 size:130 edge:1357
par:23 size:130 edge:1827
par:24 size:130 edge:1373
par:25 size:130 edge:1420
par:26 size:131 edge:1632
par:27 size:131 edge:963
par:28 size:131 edge:1689
par:29 size:130 edge:948
par:30 size:130 edge:985
par:31 size:131 edge:1215
------------
begin solve ../data/wiki_new.txt-swap.txt
load data ok!
runtime:1133
par:0 size:29 edge:615
par:1 size:70 edge:1582
par:2 size:69 edge:1388
par:3 size:46 edge:648
par:4 size:47 edge:683
par:5 size:71 edge:1622
par:6 size:71 edge:1394
par:7 size:71 edge:2571
par:8 size:53 edge:880
par:9 size:63 edge:1134
par:10 size:61 edge:816
par:11 size:70 edge:1334
par:12 size:70 edge:1748
par:13 size:71 edge:2070
par:14 size:65 edge:1236
par:15 size:59 edge:1028
par:16 size:60 edge:824
par:17 size:51 edge:743
par:18 size:47 edge:558
par:19 size:71 edge:1436
par:20 size:70 edge:1662
par:21 size:71 edge:1852
par:22 size:49 edge:715
par:23 size:71 edge:1888
par:24 size:71 edge:1435
par:25 size:50 edge:538
par:26 size:70 edge:1610
par:27 size:53 edge:898
par:28 size:66 edge:1094
par:29 size:71 edge:1476
par:30 size:67 edge:1083
par:31 size:67 edge:1012
par:32 size:51 edge:530
par:33 size:55 edge:793
par:34 size:53 edge:731
par:35 size:71 edge:2275
par:36 size:70 edge:1066
par:37 size:66 edge:935
par:38 size:61 edge:1041
par:39 size:71 edge:1814
par:40 size:71 edge:1815
par:41 size:60 edge:1036
par:42 size:63 edge:773
par:43 size:66 edge:831
par:44 size:61 edge:738
par:45 size:67 edge:843
par:46 size:70 edge:875
par:47 size:70 edge:1510
par:48 size:70 edge:1701
par:49 size:65 edge:823
par:50 size:69 edge:927
par:51 size:71 edge:1643
par:52 size:71 edge:895
par:53 size:66 edge:795
par:54 size:70 edge:1402
par:55 size:66 edge:730
par:56 size:71 edge:983
par:57 size:71 edge:1265
par:58 size:71 edge:1534
par:59 size:69 edge:569
par:60 size:71 edge:1435
par:61 size:71 edge:862
par:62 size:71 edge:1177
par:63 size:71 edge:1529
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:858
par:0 size:85185 edge:30959
par:1 size:86906 edge:30872
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:1175
par:0 size:41733 edge:17455
par:1 size:43452 edge:17296
par:2 size:43453 edge:17367
par:3 size:43453 edge:17584
------------
begin solve ../data/out.dbpedia-location
load data ok!
runtime:1359
par:0 size:20006 edge:9718
par:1 size:21726 edge:9789
par:2 size:21725 edge:9921
par:3 size:21727 edge:9403
par:4 size:21726 edge:9740
par:5 size:21727 edge:9618
par:6 size:21727 edge:9203
par:7 size:21727 edge:9902
------------
begin solve ../data/out.dbpedia-location
load data ok!
Terminated
3844
3176
sum:7020
max partition:2283
min partition:2283
3422
3082
2658
2348
sum:11510
max partition:1142
min partition:1141
2769
2884
2660
2407
2191
2083
1896
1511
sum:18401
max partition:571
min partition:570
1600
2283
2313
2246
2090
2132
1785
1840
1769
1628
1594
1539
1450
1333
1100
892
sum:27594
max partition:286
min partition:285
1080
1083
1704
1788
1714
1699
1658
1584
1398
1418
1468
1534
1433
1445
1355
1231
1373
1269
1213
1321
1091
1104
1097
977
1022
889
945
815
751
832
554
440
sum:39285
max partition:143
min partition:142
713
1110
1259
1094
727
780
1249
1034
1300
1141
1096
1239
1199
1220
1142
1088
1031
1031
1075
1039
889
915
1014
956
965
837
997
862
855
880
952
773
860
826
873
918
959
867
869
720
743
780
824
777
697
614
683
637
657
646
651
665
447
536
547
611
522
498
422
523
342
365
298
192
sum:53031
max partition:72
min partition:71
4549
3699
sum:8248
max partition:2066
min partition:2065
4469
4015
3539
2235
sum:14258
max partition:1033
min partition:1032
4200
4059
3575
3502
3333
2537
2089
898
sum:24193
max partition:517
min partition:516
3931
3412
3501
2896
3039
2561
3261
2653
2636
2278
2430
1998
1488
1382
606
320
sum:38392
max partition:259
min partition:258
3671
3204
2400
2766
2257
2571
1904
2018
1716
1913
2426
1964
2398
1744
1906
2265
1664
1476
2232
1924
1240
1632
1423
1122
1001
1068
961
851
536
282
139
177
sum:54851
max partition:130
min partition:129
3366
1929
2053
1879
1381
1346
1536
2054
1755
1397
1524
1122
2399
1103
1084
1282
1563
1359
1493
1329
1351
1247
1563
1023
1117
1251
1131
1147
1765
1038
726
988
1894
1034
947
1329
1206
862
1196
971
1047
1089
628
1026
792
1032
941
711
856
700
836
611
447
677
416
384
346
366
285
182
76
79
78
89
sum:70434
max partition:65
min partition:64
./cmd basic 2>result-basic.txt
./cmd anti-basic 2>result-anti-basic.txt
./cmd entropy 2>result-entropy.txt
./MinMax
path: ../data/
dataset: wiki_new.txt
solving  wiki_new.txt   1
solving  wiki_new.txt   0
path: ../data/
dataset: wiki_new.txt
solving  wiki_new.txt   3
solving  wiki_new.txt   1
solving  wiki_new.txt   2
solving  wiki_new.txt   0
path: ../data/
dataset: wiki_new.txt
solving  wiki_new.txt   3
solving  wiki_new.txt   6
solving  wiki_new.txt   5
solving  wiki_new.txt   1
solving  wiki_new.txt   2
solving  wiki_new.txt   7
solving  wiki_new.txt   0
solving  wiki_new.txt   4
path: ../data/
dataset: wiki_new.txt
solving  wiki_new.txt   14
solving  wiki_new.txt   8
solving  wiki_new.txt   3
solving  wiki_new.txt   15
solving  wiki_new.txt   13
solving  wiki_new.txt   6
solving  wiki_new.txt   5
solving  wiki_new.txt   10
solving  wiki_new.txt   1
solving  wiki_new.txt   2
solving  wiki_new.txt   7
solving  wiki_new.txt   11
solving  wiki_new.txt   9
solving  wiki_new.txt   12
solving  wiki_new.txt   0
solving  wiki_new.txt   4
path: ../data/
dataset: wiki_new.txt
solving  wiki_new.txt   14
solving  wiki_new.txt   8
solving  wiki_new.txt   3
solving  wiki_new.txt   29
solving  wiki_new.txt   26
solving  wiki_new.txt   15
solving  wiki_new.txt   13
solving  wiki_new.txt   6
solving  wiki_new.txt   5
solving  wiki_new.txt   30
solving  wiki_new.txt   31
solving  wiki_new.txt   10
solving  wiki_new.txt   25
solving  wiki_new.txt   1
solving  wiki_new.txt   16
solving  wiki_new.txt   24
solving  wiki_new.txt   2
solving  wiki_new.txt   21
solving  wiki_new.txt   27
solving  wiki_new.txt   7
solving  wiki_new.txt   11
solving  wiki_new.txt   9
solving  wiki_new.txt   23
solving  wiki_new.txt   28
solving  wiki_new.txt   12
solving  wiki_new.txt   18
solving  wiki_new.txt   0
solving  wiki_new.txt   22
solving  wiki_new.txt   17
solving  wiki_new.txt   20
solving  wiki_new.txt   4
solving  wiki_new.txt   19
path: ../data/
dataset: wiki_new.txt
solving  wiki_new.txt   58
solving  wiki_new.txt   14
solving  wiki_new.txt   8
solving  wiki_new.txt   3
solving  wiki_new.txt   29
solving  wiki_new.txt   26
solving  wiki_new.txt   15
solving  wiki_new.txt   13
solving  wiki_new.txt   6
solving  wiki_new.txt   43
solving  wiki_new.txt   5
solving  wiki_new.txt   30
solving  wiki_new.txt   31
solving  wiki_new.txt   41
solving  wiki_new.txt   10
solving  wiki_new.txt   44
solving  wiki_new.txt   51
solving  wiki_new.txt   50
solving  wiki_new.txt   25
solving  wiki_new.txt   40
solving  wiki_new.txt   59
solving  wiki_new.txt   1
solving  wiki_new.txt   16
solving  wiki_new.txt   24
solving  wiki_new.txt   49
solving  wiki_new.txt   53
solving  wiki_new.txt   33
solving  wiki_new.txt   57
solving  wiki_new.txt   35
solving  wiki_new.txt   2
solving  wiki_new.txt   46
solving  wiki_new.txt   37
solving  wiki_new.txt   47
solving  wiki_new.txt   21
solving  wiki_new.txt   27
solving  wiki_new.txt   38
solving  wiki_new.txt   62
solving  wiki_new.txt   32
solving  wiki_new.txt   7
solving  wiki_new.txt   39
solving  wiki_new.txt   42
solving  wiki_new.txt   60
solving  wiki_new.txt   11
solving  wiki_new.txt   9
solving  wiki_new.txt   55
solving  wiki_new.txt   23
solving  wiki_new.txt   48
solving  wiki_new.txt   28
solving  wiki_new.txt   12
solving  wiki_new.txt   63
solving  wiki_new.txt   18
solving  wiki_new.txt   0
solving  wiki_new.txt   34
solving  wiki_new.txt   22
solving  wiki_new.txt   54
solving  wiki_new.txt   61
solving  wiki_new.txt   45
solving  wiki_new.txt   17
solving  wiki_new.txt   20
solving  wiki_new.txt   4
solving  wiki_new.txt   52
solving  wiki_new.txt   56
solving  wiki_new.txt   19
solving  wiki_new.txt   36
path: ../data/
dataset: wiki_new.txt-swap.txt
solving  wiki_new.txt-swap.txt   1
solving  wiki_new.txt-swap.txt   0
path: ../data/
dataset: wiki_new.txt-swap.txt
solving  wiki_new.txt-swap.txt   1
solving  wiki_new.txt-swap.txt   3
solving  wiki_new.txt-swap.txt   2
solving  wiki_new.txt-swap.txt   0
path: ../data/
dataset: wiki_new.txt-swap.txt
solving  wiki_new.txt-swap.txt   7
solving  wiki_new.txt-swap.txt   5
solving  wiki_new.txt-swap.txt   6
solving  wiki_new.txt-swap.txt   1
solving  wiki_new.txt-swap.txt   3
solving  wiki_new.txt-swap.txt   2
solving  wiki_new.txt-swap.txt   0
solving  wiki_new.txt-swap.txt   4
path: ../data/
dataset: wiki_new.txt-swap.txt
solving  wiki_new.txt-swap.txt   9
solving  wiki_new.txt-swap.txt   7
solving  wiki_new.txt-swap.txt   5
solving  wiki_new.txt-swap.txt   15
solving  wiki_new.txt-swap.txt   6
