
data_set:out.dbpedia-team n:901130 m:34461
 p , k-1 , partition time , total time  
2,5501,2626,5204
4,12048,2680,5081
8,22755,2763,5238
16,38350,3603,6631
32,61679,3263,6147
64,90829,2505,5078

data_set:out.dbpedia-team-swap.txt n:34461 m:901130
 p , k-1 , partition time , total time  
2,15502,1382,3797
4,44517,1584,4237
8,99495,2029,4762
16,152716,1526,4238
32,208124,1713,4443
64,243315,1687,4448
