,method,dataset,p,neigh,neighTot,edgeCopy
87,random,out.actor-movie-swap.txt,8,4141878,33114922,3203900
88,entropy,out.github,8,36078428,72504646,62200
89,HYPE,out.github,8,19140832,72504646,104456
90,MinMax,out.github,8,16414772,72504646,195388
91,KaHyPar,out.github,8,29250316,72504646,52148
92,random,out.github,8,9079118,72504646,446188
93,entropy,out.dbpedia-location-swap.txt,8,241516,336286,54512
94,HYPE,out.dbpedia-location-swap.txt,8,173056,336286,113402
95,MinMax,out.dbpedia-location-swap.txt,8,161222,336286,118656
96,KaHyPar,out.dbpedia-location-swap.txt,8,314530,336286,8884
97,random,out.dbpedia-location-swap.txt,8,43370,336286,249460
98,entropy,out.orkut-groupmemberships-swap.txt,8,124436986940,156253011524,27666666
99,HYPE,out.orkut-groupmemberships-swap.txt,8,32485603592,156253011524,54646438
100,MinMax,out.orkut-groupmemberships-swap.txt,8,52016534694,156253011524,66818818
101,random,out.orkut-groupmemberships-swap.txt,8,19537288674,156253011524,114508578
102,entropy,out.trackers-swap.txt,8,477886460086,1733537480762,5729376
103,HYPE,out.trackers-swap.txt,8,286559494100,1733537480762,10734270
104,MinMax,out.trackers-swap.txt,8,234363693000,1733537480762,79468288
105,random,out.trackers-swap.txt,8,216688764464,1733537480762,215269388
106,entropy,out.dbpedia-team-swap.txt,8,2459082,3176572,131646
107,HYPE,out.dbpedia-team-swap.txt,8,1746388,3176572,264694
108,MinMax,out.dbpedia-team-swap.txt,8,1254398,3176572,523554
109,KaHyPar,out.dbpedia-team-swap.txt,8,2656462,3176572,78212
110,random,out.dbpedia-team-swap.txt,8,395212,3176572,1410726
111,entropy,wiki_new.txt-swap.txt,8,2172230,5667296,66092
112,HYPE,wiki_new.txt-swap.txt,8,1135894,5667296,120540
113,MinMax,wiki_new.txt-swap.txt,8,1063660,5667296,129752
114,KaHyPar,wiki_new.txt-swap.txt,8,2092602,5667296,43320
115,random,wiki_new.txt-swap.txt,8,705034,5667296,192086
116,entropy,out.dblp-author-swap.txt,8,170370036,611985702,2797948
117,HYPE,out.dblp-author-swap.txt,8,233409324,611985702,3580808
118,MinMax,out.dblp-author-swap.txt,8,109231622,611985702,7261836
119,random,out.dblp-author-swap.txt,8,76509016,611985702,19249630
120,entropy,out.trackers,8,32509747817598,211149810420152,2655414
121,HYPE,out.trackers,8,31759001696002,211149810420152,3732834
122,MinMax,out.trackers,8,26592635454476,211149810420152,19364286
123,random,out.trackers,8,26393721812984,211149810420152,61598278
124,entropy,out.github-swap.txt,8,21642130,33640832,69686
125,HYPE,out.github-swap.txt,8,10351186,33640832,123520
126,MinMax,out.github-swap.txt,8,7973252,33640832,254362
127,KaHyPar,out.github-swap.txt,8,15145336,33640832,65602
128,random,out.github-swap.txt,8,4214596,33640832,611506
129,entropy,out.actor-movie,8,16977068,45853252,471196
130,HYPE,out.actor-movie,8,20415602,45853252,682008
131,MinMax,out.actor-movie,8,9929172,45853252,1207752
132,KaHyPar,out.actor-movie,8,36093590,45853252,112192
133,random,out.actor-movie,8,5729484,45853252,2137038
134,entropy,wiki_new.txt,8,4029290,20911252,76418
135,HYPE,wiki_new.txt,8,3088338,20911252,91188
136,MinMax,wiki_new.txt,8,3286376,20911252,77138
137,KaHyPar,wiki_new.txt,8,4619594,20911252,46188
138,random,wiki_new.txt,8,2621788,20911252,121516
139,entropy,out.dbpedia-location,8,55112164,245450946,4460
140,HYPE,out.dbpedia-location,8,75030406,245450946,10690
141,MinMax,out.dbpedia-location,8,31885536,245450946,85148
142,KaHyPar,out.dbpedia-location,8,90022926,245450946,1360
143,random,out.dbpedia-location,8,30674920,245450946,260704
144,entropy,out.dblp-author,8,18462374,29486618,3259732
145,HYPE,out.dblp-author,8,15419550,29486618,5199898
146,MinMax,out.dblp-author,8,12355934,29486618,7037354
147,random,out.dblp-author,8,3685912,29486618,16996730
148,entropy,out.dbpedia-team,16,197386666,669389420,99384
149,HYPE,out.dbpedia-team,16,199019422,669389420,256252
150,MinMax,out.dbpedia-team,16,44273016,669389420,969210
151,KaHyPar,out.dbpedia-team,16,350406368,669389420,40242
152,random,out.dbpedia-team,16,41839452,669389420,2190688
153,entropy,out.orkut-groupmemberships,16,1184663065750,4899826005842,117390968
154,HYPE,out.orkut-groupmemberships,16,534572487638,4899826005842,251407934
155,MinMax,out.orkut-groupmemberships,16,451045902296,4899826005842,255693198
156,random,out.orkut-groupmemberships,16,306240164982,4899826005842,387007898
157,entropy,out.actor-movie-swap.txt,16,14133140,33114922,761420
158,HYPE,out.actor-movie-swap.txt,16,9241238,33114922,1428852
159,MinMax,out.actor-movie-swap.txt,16,5952764,33114922,2696394
160,KaHyPar,out.actor-movie-swap.txt,16,22081952,33114922,199276
161,random,out.actor-movie-swap.txt,16,2072170,33114922,7332028
162,entropy,out.github,16,23176668,72504646,143184
163,HYPE,out.github,16,10126382,72504646,256222
164,MinMax,out.github,16,8899202,72504646,466026
165,KaHyPar,out.github,16,17750560,72504646,125166
166,random,out.github,16,4530760,72504646,999996
167,entropy,out.dbpedia-location-swap.txt,16,224618,336286,66064
168,HYPE,out.dbpedia-location-swap.txt,16,151130,336286,131356
169,MinMax,out.dbpedia-location-swap.txt,16,135260,336286,146206
170,KaHyPar,out.dbpedia-location-swap.txt,16,297304,336286,19268
171,random,out.dbpedia-location-swap.txt,16,20596,336286,290550
172,entropy,out.orkut-groupmemberships-swap.txt,16,111600313784,156253011524,69255080
173,HYPE,out.orkut-groupmemberships-swap.txt,16,17698848624,156253011524,192066570
174,MinMax,out.orkut-groupmemberships-swap.txt,16,30642783450,156253011524,242694714
175,random,out.orkut-groupmemberships-swap.txt,16,9763356386,156253011524,397911808
176,entropy,out.trackers-swap.txt,16,349617429466,1733537480762,10503794
177,HYPE,out.trackers-swap.txt,16,157884172852,1733537480762,19280864
178,MinMax,out.trackers-swap.txt,16,118718646460,1733537480762,154631842
179,random,out.trackers-swap.txt,16,108348775862,1733537480762,368755128
180,entropy,out.dbpedia-team-swap.txt,16,2062974,3176572,228762
181,HYPE,out.dbpedia-team-swap.txt,16,1286578,3176572,519148
182,MinMax,out.dbpedia-team-swap.txt,16,1098644,3176572,723924
183,KaHyPar,out.dbpedia-team-swap.txt,16,2552292,3176572,113484
184,random,out.dbpedia-team-swap.txt,16,198976,3176572,2086856
185,entropy,wiki_new.txt-swap.txt,16,1380720,5667296,151584
186,HYPE,wiki_new.txt-swap.txt,16,626738,5667296,350038
187,MinMax,wiki_new.txt-swap.txt,16,623314,5667296,344176
188,KaHyPar,wiki_new.txt-swap.txt,16,1568498,5667296,98246
189,random,wiki_new.txt-swap.txt,16,349742,5667296,562430
190,entropy,out.dblp-author-swap.txt,16,140112264,611985702,5284212
191,HYPE,out.dblp-author-swap.txt,16,169912496,611985702,6668642
192,MinMax,out.dblp-author-swap.txt,16,65185930,611985702,13843784
193,random,out.dblp-author-swap.txt,16,38228722,611985702,40868350
194,entropy,out.trackers,16,17715520358634,211149810420152,4939230
195,HYPE,out.trackers,16,16205798500924,211149810420152,7486156
196,MinMax,out.trackers,16,13311251157832,211149810420152,48657048
197,random,out.trackers,16,13196854100296,211149810420152,138289310
198,entropy,out.github-swap.txt,16,18190754,33640832,145712
199,HYPE,out.github-swap.txt,16,6088064,33640832,301630
200,MinMax,out.github-swap.txt,16,5050794,33640832,632420
201,KaHyPar,out.github-swap.txt,16,13290162,33640832,106082
202,random,out.github-swap.txt,16,2101766,33640832,1537876
203,entropy,out.actor-movie,16,13886734,45853252,819634
204,HYPE,out.actor-movie,16,12273986,45853252,1536478
205,MinMax,out.actor-movie,16,5896296,45853252,2595414
206,KaHyPar,out.actor-movie,16,28597376,45853252,237220
207,random,out.actor-movie,16,2865946,45853252,4915688
208,entropy,wiki_new.txt,16,2363466,20911252,176934
209,HYPE,wiki_new.txt,16,1644326,20911252,259886
210,MinMax,wiki_new.txt,16,1696550,20911252,225178
211,KaHyPar,wiki_new.txt,16,2902318,20911252,115568
212,random,wiki_new.txt,16,1309458,20911252,364658
213,entropy,out.dbpedia-location,16,38220216,245450946,10682
214,HYPE,out.dbpedia-location,16,49059960,245450946,20396
215,MinMax,out.dbpedia-location,16,16117870,245450946,188222
216,KaHyPar,out.dbpedia-location,16,65876216,245450946,3478
217,random,out.dbpedia-location,16,15345934,245450946,593150
218,entropy,out.dblp-author,16,15816326,29486618,4759362
219,HYPE,out.dblp-author,16,12494242,29486618,7548584
220,MinMax,out.dblp-author,16,9418532,29486618,9719900
221,random,out.dblp-author,16,1843088,29486618,21800078
222,entropy,out.dbpedia-team,4,330807778,669389420,12868
223,HYPE,out.dbpedia-team,4,352934448,669389420,31776
224,MinMax,out.dbpedia-team,4,171511844,669389420,98334
225,KaHyPar,out.dbpedia-team,4,467058184,669389420,11360
226,random,out.dbpedia-team,4,167356966,669389420,186668
227,entropy,out.orkut-groupmemberships,4,3683757528206,4899826005842,14115306
228,HYPE,out.orkut-groupmemberships,4,2009140842118,4899826005842,33169156
229,MinMax,out.orkut-groupmemberships,4,1778173169436,4899826005842,31691586
230,random,out.orkut-groupmemberships,4,1224948104610,4899826005842,48915412
231,entropy,out.actor-movie-swap.txt,4,21168714,33114922,152430
232,HYPE,out.actor-movie-swap.txt,4,18467144,33114922,233374
233,MinMax,out.actor-movie-swap.txt,4,13424658,33114922,488182
234,KaHyPar,out.actor-movie-swap.txt,4,27556344,33114922,65696
235,random,out.actor-movie-swap.txt,4,8282338,33114922,1047800
236,entropy,out.github,4,50212904,72504646,24182
237,HYPE,out.github,4,34445928,72504646,38016
238,MinMax,out.github,4,25058674,72504646,87612
239,KaHyPar,out.github,4,48466958,72504646,18416
240,random,out.github,4,18122818,72504646,177932
241,entropy,out.dbpedia-location-swap.txt,4,263466,336286,39320
242,HYPE,out.dbpedia-location-swap.txt,4,204144,336286,90158
243,MinMax,out.dbpedia-location-swap.txt,4,187966,336286,94714
244,KaHyPar,out.dbpedia-location-swap.txt,4,327928,336286,1812
245,random,out.dbpedia-location-swap.txt,4,82576,336286,192990
246,entropy,out.orkut-groupmemberships-swap.txt,4,136939031494,156253011524,9518906
247,HYPE,out.orkut-groupmemberships-swap.txt,4,57712944618,156253011524,14115946
248,MinMax,out.orkut-groupmemberships-swap.txt,4,53052892804,156253011524,18422174
249,random,out.orkut-groupmemberships-swap.txt,4,39058881176,156253011524,28513806
250,entropy,out.trackers-swap.txt,4,642238759224,1733537480762,2721004
251,HYPE,out.trackers-swap.txt,4,527098734626,1733537480762,6481148
252,MinMax,out.trackers-swap.txt,4,457725686378,1733537480762,39779922
253,random,out.trackers-swap.txt,4,433382833224,1733537480762,94580552
254,entropy,out.dbpedia-team-swap.txt,4,2837366,3176572,54566
255,HYPE,out.dbpedia-team-swap.txt,4,2514932,3176572,98292
256,MinMax,out.dbpedia-team-swap.txt,4,1787456,3176572,229140
257,KaHyPar,out.dbpedia-team-swap.txt,4,2825454,3176572,43510
258,random,out.dbpedia-team-swap.txt,4,791068,3176572,680432
259,entropy,wiki_new.txt-swap.txt,4,3423912,5667296,24764
260,HYPE,wiki_new.txt-swap.txt,4,2002948,5667296,34254
261,MinMax,wiki_new.txt-swap.txt,4,1955226,5667296,37950
262,KaHyPar,wiki_new.txt-swap.txt,4,2837696,5667296,19680
263,random,wiki_new.txt-swap.txt,4,1410928,5667296,50104
264,entropy,out.dblp-author-swap.txt,4,249592138,611985702,2095358
265,HYPE,out.dblp-author-swap.txt,4,326875234,611985702,1693958
266,MinMax,out.dblp-author-swap.txt,4,183377808,611985702,3796318
267,random,out.dblp-author-swap.txt,4,153007250,611985702,8132828
268,entropy,out.trackers,4,62394836451724,211149810420152,1232500
269,HYPE,out.trackers,4,58326703012514,211149810420152,1997832
270,MinMax,out.trackers,4,52887686430846,211149810420152,11475404
271,random,out.trackers,4,52787447691986,211149810420152,24350892
272,entropy,out.github-swap.txt,4,24748954,33640832,36806
273,HYPE,out.github-swap.txt,4,17663624,33640832,50730
274,MinMax,out.github-swap.txt,4,13083912,33640832,98918
275,KaHyPar,out.github-swap.txt,4,19432146,33640832,26426
276,random,out.github-swap.txt,4,8411068,33640832,207398
277,entropy,out.actor-movie,4,20438738,45853252,292172
278,HYPE,out.actor-movie,4,29595796,45853252,251614
279,MinMax,out.actor-movie,4,15994192,45853252,491730
280,KaHyPar,out.actor-movie,4,42155708,45853252,48814
281,random,out.actor-movie,4,11465814,45853252,787834
282,entropy,wiki_new.txt,4,7371194,20911252,25892
283,HYPE,wiki_new.txt,4,5930846,20911252,26528
284,MinMax,wiki_new.txt,4,5892672,20911252,24656
