method,dataset,p,k-1,ParTime
KaHyPar,out.github-swap.txt,8,20569,1223660
KaHyPar,out.github-swap.txt,16,65438,6450700
KaHyPar,out.github-swap.txt,32,101086,10522600
KaHyPar,out.github-swap.txt,64,140597,16647099
KaHyPar,out.github-swap.txt,128,195082,15084800
KaHyPar,out.github-swap.txt,256,267822,15985200
KaHyPar,out.dbpedia-team,2,3093,987740
KaHyPar,out.dbpedia-team,4,4784,1146400
KaHyPar,out.dbpedia-team,8,7835,1807790
KaHyPar,out.dbpedia-team,16,10770,2892580
KaHyPar,out.dbpedia-team,16,10770,2990920
KaHyPar,out.dbpedia-team,32,15441,6674230
KaHyPar,out.dbpedia-team,64,21043,10513800
KaHyPar,out.dbpedia-team,128,29417,14437700
KaHyPar,out.dbpedia-team,256,40466,23286700
KaHyPar,out.dbpedia-team-swap.txt,2,9483,149744
KaHyPar,out.dbpedia-team-swap.txt,4,19905,67812
KaHyPar,out.dbpedia-team-swap.txt,8,31487,49091
KaHyPar,out.dbpedia-team-swap.txt,16,40488,64499
KaHyPar,out.dbpedia-team-swap.txt,32,53856,91509
KaHyPar,out.dbpedia-team-swap.txt,64,66068,128768
KaHyPar,out.dbpedia-team-swap.txt,128,82062,133896
KaHyPar,out.dbpedia-team-swap.txt,256,105144,90484
KaHyPar,out.dblp-author,2,206551,18029000
KaHyPar,out.dblp-author,4,401620,222036000
KaHyPar,out.dblp-author,8,560823,28645100
KaHyPar,out.dblp-author,16,760533,48363900
KaHyPar,out.dblp-author,32,934851,35949300
KaHyPar,out.dblp-author,64,1100174,18115800
KaHyPar,out.dblp-author,128,1236033,13009200
KaHyPar,out.dblp-author,256,1346750,8847460
KaHyPar,out.dblp-author-swap.txt,2,65389,77542800
KaHyPar,out.dblp-author-swap.txt,4,133645,200183000
MinMax,out.github,2,10388,949
MinMax,out.github,4,27512,991
MinMax,out.github,8,45738,1426
MinMax,out.github,16,59544,2301
MinMax,out.github,32,79698,3804
MinMax,out.github,64,103887,6175
MinMax,out.github,128,125706,10701
MinMax,out.github,256,152455,17806
MinMax,out.github-swap.txt,2,16429,806
MinMax,out.github-swap.txt,4,29396,1091
MinMax,out.github-swap.txt,8,39822,1655
MinMax,out.github-swap.txt,16,65969,2479
MinMax,out.github-swap.txt,32,85336,4088
MinMax,out.github-swap.txt,64,113159,6881
MinMax,out.github-swap.txt,128,136691,11272
MinMax,out.github-swap.txt,256,166838,19825
MinMax,out.actor-movie,2,69477,2940
MinMax,out.actor-movie,4,129938,4331
MinMax,out.actor-movie,8,186185,6802
MinMax,out.actor-movie,16,226626,11437
MinMax,out.actor-movie,32,308095,20461
MinMax,out.actor-movie,64,379735,59478
MinMax,out.actor-movie,128,449617,83424
MinMax,out.actor-movie,256,534530,97311
MinMax,out.actor-movie-swap.txt,2,54060,3502
MinMax,out.actor-movie-swap.txt,4,130038,4743
MinMax,out.actor-movie-swap.txt,8,174931,7608
MinMax,out.actor-movie-swap.txt,16,282594,11565
MinMax,out.actor-movie-swap.txt,32,348775,19256
MinMax,out.actor-movie-swap.txt,64,421704,33347
MinMax,out.actor-movie-swap.txt,128,488119,61975
MinMax,out.actor-movie-swap.txt,256,588345,100773
MinMax,out.dblp-author-swap.txt,2,748955,51396
MinMax,out.dblp-author-swap.txt,4,1382508,73898
MinMax,out.dblp-author-swap.txt,8,1887953,112097
MinMax,out.dblp-author-swap.txt,16,2271269,216729
MinMax,out.dblp-author-swap.txt,32,2571688,320561
MinMax,out.dblp-author-swap.txt,64,2784645,591585
MinMax,out.dblp-author-swap.txt,128,2929496,1090264
MinMax,out.dblp-author-swap.txt,256,3029677,1882244
MinMax,reuters.txt,2,84834,80653
MinMax,reuters.txt,4,189403,116321
MinMax,reuters.txt,8,332580,195188
MinMax,reuters.txt,16,513941,376463
MinMax,reuters.txt,32,740529,799315
MinMax,reuters.txt,64,1107213,1601733
MinMax,reuters.txt,128,1681815,3068966
MinMax,reuters.txt,256,2500751,6082403
MinMax,reuters-swap.txt,2,778364,109741
MinMax,reuters-swap.txt,4,1671138,166953
MinMax,reuters-swap.txt,8,2952858,284817
MinMax,reuters-swap.txt,16,5283079,460918
MinMax,reuters-swap.txt,32,9363044,756663
MinMax,reuters-swap.txt,64,14928468,1226825
MinMax,reuters-swap.txt,128,23227860,1960012
MinMax,reuters-swap.txt,256,30933672,3182570
MinMax,out.trackers,2,1150980,396715
MinMax,out.trackers,4,3644197,501597
MinMax,out.trackers,8,5138330,722552
MinMax,out.trackers,16,5814882,1116162
MinMax,out.trackers,32,5950160,1943065
MinMax,out.trackers,64,7668463,3550810
MinMax,out.trackers,128,9863179,6381571
MinMax,out.dblp-author,2,944323,46714
MinMax,out.dblp-author,4,1741509,70449
MinMax,out.dblp-author,8,2267524,104668
MinMax,out.dblp-author,16,2660086,181784
MinMax,out.dblp-author,32,2905465,332504
MinMax,out.dblp-author,64,3004063,606847
MinMax,out.dblp-author,128,3152952,1079358
MinMax,out.dblp-author,256,3235319,1906601
MinMax,out.orkut-groupmemberships,2,4774389,834871
MinMax,out.orkut-groupmemberships,4,9016795,1347911
MinMax,out.orkut-groupmemberships,8,12899016,2371818
MinMax,out.orkut-groupmemberships,16,19920582,4444555
MinMax,out.orkut-groupmemberships,32,27615069,9034704
MinMax,out.orkut-groupmemberships,64,37737916,14590562
MinMax,out.orkut-groupmemberships,128,49254575,26884218
MinMax,out.orkut-groupmemberships,256,62378745,53238263
MinMax,enwiki.txt,2,9284999,1178019
MinMax,enwiki.txt,4,14488556,1722660
MinMax,enwiki.txt,8,18920623,2868549
MinMax,enwiki.txt,16,38955439,4238854
MinMax,enwiki.txt,32,59456031,7006816
MinMax,enwiki.txt,64,80443110,12760197
MinMax,enwiki.txt,128,101886081,22669990
MinMax,enwiki.txt,256,122970041,38519659
