180681	3545	10303
110108	4804	8867
60393	3844	7893
33803	2893	6417
19328	2567	5762
10295	2294	6797
180681	3545	10611
110108	4804	8767
60393	3844	7821
33803	2893	6339
19328	2567	5791
10295	2294	6852
173202	343	    9076
100099	997	    6661
55969	1938	5638
30582	2083	5090
16576	1909	4756
9095	1958	6277
171712	1307	8980
90478	1801	7038
45846	1749	6059
23339	1848	4159
11852	1741	4159
6110	1951	7620
164634	108	    7312
86658	253	    5089
43578	365	    3192
22853	440	    2607
11577	659	    2886
6229	826	    4231
148668	8424	12186
75402	11332	11737
38280	12317	13902
19404	13898	15830
9747	19650	23385
4803	31423	58386
